Title,Production company,Distributed by,Release date,Running time,Country,Language,Box office,Directed by,Written by,Based on,Produced by,Starring,Music by,Release dates,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Color process,Genre,Created by,Country of origin,No. of seasons,No. of episodes,Production companies,Adaptation by,Layouts by,Original concept by,Original language,Born,Died,Cause of death,Resting place,Alma mater,Occupation,Years active,Board member of,,Children,Awards,Music,Lyrics,Book,Basis,Productions,Original work,Owner,First appearance,Last appearance,Years,Education,Known for,Nationality,Employer,Notable work,Website
Something Wicked This Way Comes,,Buena Vista Distribution,"['April 29, 1983 (United States)']",95 minutes,United States,English,$8.4 million,Jack Clayton,Ray Bradbury,"['Something Wicked This Way Comes', 'by Ray Bradbury']",Peter Douglas,"['Jason Robards', 'Jonathan Pryce', 'Diane Ladd', 'Pam Grier']",James Horner,,$20 million,,,Stephen H. Burum,"['Barry Mark Gordon', 'Art J. Nelson']",,,,,,,,,,"['Walt Disney Productions', 'The Bryna Company']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never Cry Wolf,,Buena Vista Distribution,,105 minutes,United States,,$27.6 million,Carroll Ballard,,"['The autobiography', 'by', 'Farley Mowat']","['Lewis Allen', 'Jack Couffer', 'Joseph Strick']","['Charles Martin Smith', 'Brian Dennehy']",Mark Isham,[],$11 million,,,Hiro Narita,"['Michael Chandler', 'Peter Parasheles']","['English', 'Inuktitut']","['Curtis Hanson', 'Sam Hamm', 'Richard Kletter']",,,,,,,,"['Walt Disney Pictures', 'Amarok Productions Ltd.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Oz,,Buena Vista Distribution,"['June 21, 1985 (United States)']",113 minutes,,English,$11.1 million (USA),Walter Murch,,"['The Marvelous Land of Oz', 'and', 'Ozma of Oz', 'by', 'L. Frank Baum']",Paul Maslansky,"['Nicol Williamson', 'Jean Marsh', 'Piper Laurie', 'Fairuza Balk']",David Shire,,$28 million,,,"['David Watkin', 'Freddie Francis']",Leslie Hodgson,,"['Walter Murch', 'Gill Dennis']","['United States', 'United Kingdom']",,,,,,,"['Walt Disney Pictures', 'Silver Screen Partners']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Cauldron,,Buena Vista Distribution,"['July 24, 1985']",80 minutes,United States,English,$21.3 million,"['Ted Berman', 'Richard Rich']",,"['The Book of Three and', 'The Black Cauldron by', 'Lloyd Alexander']","['Joe Hale', 'Ron Miller']","['Grant Bardsley', 'Susan Sheridan', 'Freddie Jones', 'Nigel Hawthorne', 'Arthur Malet', 'John Byner', 'Phil Fondacaro', 'John Hurt']",Elmer Bernstein,,$44 million,"['Ted Berman', 'Vance Gerry', 'Joe Hale', 'David Jonas', 'Roy Morita', 'Richard Rich', 'Art Stevens', 'Al Wilson', 'Peter Young']",John Huston,,"['James Melton', 'Jim Koford', 'Armetta Jackson', 'Jeffrey Katzenberg']",,,,,,,,,,"['Walt Disney Pictures', 'Walt Disney Productions', 'Silver Screen Partners II']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Journey of Natty Gann,,Buena Vista Distribution,"['September 27, 1985']",101 minutes,United States,English,$9.7 million (U.S. and Canada only),Jeremy Kagan,Jeanne Rosenberg,,Mike Lobell,"['Meredith Salenger', 'John Cusack', 'Ray Wise']",James Horner,,,,,Dick Bush,David Holden,,,,,,,,,,"['Walt Disney Pictures', 'Silver Screen Partners II']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Magic Christmas,,Buena Vista Distribution,"['November 22, 1985']",90 minutes,,English,$13 million,Phillip Borsos,,,Peter O'Brian,"['Mary Steenburgen', 'Gary Basaraba', 'Michelle Meyrink', 'Elisabeth Harnois', 'Arthur Hill', 'Harry Dean Stanton']",Michael Conway Baker,,,"['Thomas Meehan', 'Phillip Borsos', 'Barry Healey']",,Frank Tidy,Sidney Wolinsky,,Thomas Meehan,"['United States', 'Canada']",,,,,,,"['Walt Disney Pictures', 'Silver Screen Partners II', 'Telefilm Canada']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Mouse Detective,,Buena Vista Distribution,"['July 2, 1986']",74 minutes,United States,English,$38.7 million,"['John Musker', 'Ron Clements', 'Dave Michener', 'Burny Mattinson']",,"['Eve Titus', 'Paul Galdone']",Burny Mattinson,"['Vincent Price', 'Barrie Ingham', 'Val Bettin', 'Susanne Pollatschek', 'Candy Candido', 'Diana Chesney', 'Eve Brenner', 'Alan Young']",Henry Mancini,,$14 million,"['Pete Young', 'Vance Gerry', 'Steve Hulett', 'Ron Clements', 'John Musker', 'Bruce M. Morris', ""Matthew O'Callaghan"", 'Burny Mattinson', 'Dave Michener', 'Melvin Shaw']",,,,,,,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners II']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight of the Navigator,,"['Buena Vista Pictures', 'PSO Productions']","['August 1, 1986']",90 minutes,United States,English,"$18,564,613",Randal Kleiser,,,"['Dimitri Villard', 'Robert Wald']","['Joey Cramer', 'Sarah Jessica Parker']",Alan Silvestri,,$9 million,Mark H. Baker,,"['James Glennon', 'Eric McGraw (uncredited)']","['Jeff Gourson', 'Janice Parker']",,"['Michael Burton', 'Matt MacManus']",,,,,,,,"['Walt Disney Pictures', 'PSO Productions', 'Viking Film AS']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benji the Hunted,,Buena Vista Distribution,"['June 5, 1987']",89 minutes,United States,English,$22.3 million,Joe Camp,Joe Camp,,Ben Vaughn,"['Red Steagall', 'Frank Inn', 'Nancy Francis']","['Betty Box', 'Euel Box']",,,,,Don Reddy,Karen Thorndike,,,,,,,,,,"['Walt Disney Pictures', 'Mulberry Square Productions', 'Silver Screen Partners III']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man from Snowy River II,,"['Hoyts Distribution', 'Buena Vista Pictures Distribution']",,110 minutes,Australia,English,"$13,687,027",Geoff Burrowes,"['Banjo Paterson', 'Geoff Burrowes', 'John Dixon']",,Geoff Burrowes,"['Tom Burlinson', 'Sigrid Thornton', 'Brian Dennehy', 'Nicholas Eadie', 'Bryan Marshall', 'Mark Hembrow']",Bruce Rowland,"['24 March 1988 (Australia)', '15 April 1988 (United States)']",A$8.7 million,,,Keith Wagstaff,Gary Woodyard,,,,,,,,,,"['Walt Disney Pictures', 'Silver Screen Partners III', 'Burrowes Film Group', 'The Hoyts Group']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
